SiteCode,Name,Country,Latitude,Longitude,Check,Comment
AT-Neu,Neustift/Stubai Valley,Austria,47.1167,11.3175,,
AU-Fog,Fogg Dam,Australia,-12.5425,131.307,,
AU-How,Howard Springs,Australia,-12.4943,131.152,,
AU-Tum,Tumbarumba,Australia,-35.6557,148.152,,
AU-Wac,Wallaby Creek,Australia,-37.429,145.187,,
BE-Bra,Brasschaat (De Inslag Forest),Belgium,51.3092,4.5206,,
BE-Jal,Jalhay,Belgium,50.5639,6.0733,,
BE-Lon,Lonzee,Belgium,50.5522,4.7449,,
BE-Vie,Vielsalm,Belgium,50.3055,5.9968,,
BR-Ban,Ecotone Bananal Island,Brazil,-9.8244,-50.1591,,
BR-Cax,Caxiuana Forest-Almeirim,Brazil,-1.7197,-51.459,,
BR-Ji1,Rond.- Faz. Nossa Senhora-i Parana-pasture,Brazil,-10.7618,-62.3572,,
BR-Ji2,Rond.- Rebio Jaru Ji Parana- Tower A,Brazil,-10.0832,-61.9309,,
BR-Ma2,Manaus - ZF2 K34,Brazil,-2.6091,-60.2093,,
BR-Sa1,Santarem-Km67-Primary Forest,Brazil,-2.8567,-54.9589,,
BR-Sa2,Santarem-Km77-Pasture,Brazil,-3.0119,-54.5365,,
BR-Sa3,Santarem-Km83-Logged Forest,Brazil,-3.018,-54.9714,,
BR-Sp1,Sao Paulo Cerrado,Brazil,-21.6195,-47.6499,,
BW-Ghg,Ghanzi Grass Site,Botswana,-21.51,21.74,,
BW-Ghm,Ghanzi Mixed Site,Botswana,-21.2,21.75,,
BW-Ma1,Maun- Mopane Woodland,Botswana,-19.9155,23.5605,,
CA-Ca1,British Columbia- Campbell River - Mature Forest Site,Canada,49.8672,-125.334,,
CA-Ca2,British Columbia- Campbell River - Clearcut Site,Canada,49.8705,-125.291,,
CA-Ca3,British Columbia- Campbell River - Young Plantation Site,Canada,49.5346,-124.9,,
CA-Gro,Ontario- Groundhog River-Mat. Boreal Mixed Wood,Canada,48.2167,-82.1556,,
CA-Let,Lethbridge,Canada,49.7093,-112.94,,
CA-Man,BOREAS NSA - Old Black Spruce,Canada,55.8796,-98.4808,,
CA-Mer,Eastern Peatland- Mer Bleue,Canada,45.4094,-75.5186,,
CA-NS1,UCI-1850 burn site,Canada,55.8792,-98.4839,,
CA-NS2,UCI-1930 burn site,Canada,55.9058,-98.5247,,
CA-NS3,UCI-1964 burn site,Canada,55.9117,-98.3822,,
CA-NS4,UCI-1964 burn site wet,Canada,55.9117,-98.3822,,
CA-NS5,UCI-1981 burn site,Canada,55.8631,-98.485,,
CA-NS6,UCI-1989 burn site,Canada,55.9167,-98.9644,,
CA-NS7,UCI-1998 burn site,Canada,56.6358,-99.9483,,
CA-Oas,Sask.- SSA Old Aspen,Canada,53.6289,-106.198,,
CA-Obs,Sask.- SSA Old Black Spruce,Canada,53.9872,-105.118,,
CA-Ojp,Sask.- SSA Old Jack Pine,Canada,53.9163,-104.692,,
CA-Qcu,Quebec Boreal Cutover Site,Canada,49.2671,-74.0365,,
CA-Qfo,Quebec Mature Boreal Forest Site,Canada,49.6925,-74.3421,,
CA-SF1,Sask.- Fire 1977,Canada,54.485,-105.818,,
CA-SF2,Sask.- Fire 1989,Canada,54.2539,-105.878,,
CA-SF3,Sask.- Fire 1998,Canada,54.0916,-106.005,,
CA-SJ1,Sask.- 1994 Harv. Jack Pine,Canada,53.908,-104.656,,
CA-SJ2,Sask.- 2002 Harvested Jack Pine,Canada,53.945,-104.649,,
CA-SJ3,Sask.- SSA 1975 Harv. Yng Jack Pine,Canada,53.8758,-104.645,,
CA-TP1,Ontario- Turkey Point Seedling White Pine,Canada,42.6609,-80.5595,,
CA-TP2,Ontario- Turkey Point Young White Pine,Canada,42.7744,-80.4588,,
CA-TP3,Ontario- Turkey Point Middle-aged White Pine,Canada,42.7068,-80.3483,,
CA-TP4,Ontario- Turkey Point Mature White Pine,Canada,42.7098,-80.3574,,
CA-WP1,Western Peatland- LaBiche-Black Spruce/Larch Fen,Canada,54.9538,-112.467,,
CA-WP2,Poor Fen,Canada,55.5375,-112.334,,
CA-WP3,Rich Fen,Canada,54.47,-113.32,,
CG-Tch,Tchizalamou,Republic of Congo,-4.2892,11.6564,,
CH-Oe1,Oensingen1 grass,Switzerland,47.2856,7.7321,,
